id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
37	Khando	Хандо	42.72694	46.23361	Andi	Andic	East Caucasian		Andi									Khando	andi1255	#003366	#9900ff	31.01.2022
38	Zilo	Зило	42.731394	46.319223	Andi	Andic	East Caucasian		Andi	Upper Andi	Верхнеандийский							Zilo	andi1255	#003366	#9900ff	31.01.2022
39	Tsibilta	Цибилта	42.74322	46.24311	Andi	Andic	East Caucasian		Andi									Tsibilta	andi1255	#003366	#9900ff	31.01.2022
40	Ashali	Ашали	42.76963	46.30878	Andi	Andic	East Caucasian		Andi	Upper Andi	Верхнеандийский							Ashali	andi1255	#003366	#9900ff	31.01.2022
41	Rikvani	Риквани	42.782304	46.319372	Andi	Andic	East Caucasian		Andi	Upper Andi	Верхнеандийский							Rikvani	andi1255	#003366	#9900ff	31.01.2022
42	Andi	Анди	42.7856	46.2639	Andi	Andic	East Caucasian		Andi	Upper Andi	Верхнеандийский							Andi	andi1255	#003366	#9900ff	31.01.2022
43	Gunkha	Гунха	42.78968	46.28275	Andi	Andic	East Caucasian		Andi	Upper Andi	Верхнеандийский							Gunkha	andi1255	#003366	#9900ff	31.01.2022
44	Gagatli	Гагатли	42.800361	46.292645	Andi	Andic	East Caucasian		Andi	Upper Andi	Верхнеандийский							Gagatli	andi1255	#003366	#9900ff	31.01.2022
45	Kubatl'	Кубатль	42.03659	46.85973	Archi	Lezgic	East Caucasian		Archi									Kubatl'	arch1244	#99cc00	#00cc66	31.01.2022
46	Alchunib	Алчуниб	42.05196	46.86943	Archi	Lezgic	East Caucasian		Archi									Alchunib	arch1244	#99cc00	#00cc66	31.01.2022
47	Khilikh	Хилих	42.05838	46.88751	Archi	Lezgic	East Caucasian		Archi									Khilikh	arch1244	#99cc00	#00cc66	31.01.2022
48	Keserib	Кесериб	42.0647	46.888	Archi	Lezgic	East Caucasian		Archi									Keserib	arch1244	#99cc00	#00cc66	31.01.2022
49	Archib	Арчиб	42.0664	46.8678	Archi	Lezgic	East Caucasian		Archi									Archib	arch1244	#99cc00	#00cc66	31.01.2022
50	Kalib	Калиб	42.07054	46.86002	Archi	Lezgic	East Caucasian		Archi									Kalib	arch1244	#99cc00	#00cc66	31.01.2022
51	Khitab	Хитаб	42.07538	46.867234	Archi	Lezgic	East Caucasian		Archi									Khitab	arch1244	#99cc00	#00cc66	31.01.2022
52	Kusur	Кусур	41.781293	46.949207	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Kusur	Кусурский					Kusur	avar1256	#009999	#009999	31.01.2022
53	Tivi	Тиви	41.9086801	45.9489227	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский					Tivi	avar1256	#009999	#009999	31.01.2022
54	Kamilukh	Камилух	41.90911	46.63101	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский			Kamilukh	avar1256	#009999	#009999	31.01.2022
55	Genekolob	Генеколоб	41.916992	46.600199	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский			Genekolob	avar1256	#009999	#009999	31.01.2022
56	Gerel'	Герель	41.94451	46.551888	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский			Gerel'	avar1256	#009999	#009999	31.01.2022
57	Betel'da	Бетельда	41.95077	46.54164	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский			Betel'da	avar1256	#009999	#009999	31.01.2022
58	Gortnob	Гортноб	41.962665	46.525604	Avar	Avar	East Caucasian		Avar									Gortnob	avar1256	#009999	#009999	31.01.2022
59	Ul'geb	Ульгеб	41.964253	46.523688	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский			Ul'geb	avar1256	#009999	#009999	31.01.2022
60	Salda	Салда	41.97497	46.50848	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский			Salda	avar1256	#009999	#009999	31.01.2022
61	Choroda	Чорода	41.98096	46.49696	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский			Choroda	avar1256	#009999	#009999	31.01.2022
62	Gagar	Гагар	41.999252	46.592744	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский	Tlyanal	Тлянальский	Gagar	avar1256	#009999	#009999	31.01.2022
63	Tsimguda	Цимгуда	42.01269	46.5665	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский	Tlyanal	Тлянальский	Tsimguda	avar1256	#009999	#009999	31.01.2022
64	Tokhota	Тохота	42.0178	46.4639	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский	Tlebel	Тлебельский	Tokhota	avar1256	#009999	#009999	31.01.2022
65	Tlyanada	Тлянада	42.02864	46.51038	Avar	Avar	East Caucasian		Avar									Tlyanada	avar1256	#009999	#009999	31.01.2022
66	Saniorta	Саниорта	42.03195	46.44246	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский	Tlebel	Тлебельский	Saniorta	avar1256	#009999	#009999	31.01.2022
67	Nitilsukh	Нитилсух	42.04732	46.42938	Avar	Avar	East Caucasian		Avar									Nitilsukh	avar1256	#009999	#009999	31.01.2022
68	Talsukh	Талсух	42.04741	46.40589	Avar	Avar	East Caucasian		Avar									Talsukh	avar1256	#009999	#009999	31.01.2022
69	Garakolob	Гараколоб	42.048887	46.455015	Avar	Avar	East Caucasian		Avar									Garakolob	avar1256	#009999	#009999	31.01.2022
70	Ritlyab	Ритляб	42.05087	46.71917	Avar	Avar	East Caucasian		Avar									Ritlyab	avar1256	#009999	#009999	31.01.2022
71	Rosnob	Росноб	42.055	46.41194	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский	Tlebel	Тлебельский	Rosnob	avar1256	#009999	#009999	31.01.2022
72	Tsumilukh	Цумилух	42.05974	46.41242	Avar	Avar	East Caucasian		Avar									Tsumilukh	avar1256	#009999	#009999	31.01.2022
73	Nikar	Никар	42.0737	46.406903	Avar	Avar	East Caucasian		Avar									Nikar	avar1256	#009999	#009999	31.01.2022
74	Barnab	Барнаб	42.07964	46.37894	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский			Barnab	avar1256	#009999	#009999	31.01.2022
75	Sikar	Сикар	42.07966	46.41127	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский			Sikar	avar1256	#009999	#009999	31.01.2022
76	Khamar	Хамар	42.095868	46.383695	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский			Khamar	avar1256	#009999	#009999	31.01.2022
77	Kutlab	Кутлаб	42.09663	46.32982	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский			Kutlab	avar1256	#009999	#009999	31.01.2022
78	Goab	Гоаб	42.097185	46.738407	Avar	Avar	East Caucasian		Avar									Goab	avar1256	#009999	#009999	31.01.2022
79	Nadar	Надар	42.09736	46.36025	Avar	Avar	East Caucasian		Avar									Nadar	avar1256	#009999	#009999	31.01.2022
80	Khadiyal	Хадиял	42.0989	46.4653	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский			Khadiyal	avar1256	#009999	#009999	31.01.2022
81	Chitab	Читаб	42.10412	46.86914	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Rissib	Риссибский			Chitab	avar1256	#009999	#009999	31.01.2022
82	Tilutl'	Тилутль	42.109079	46.350054	Avar	Avar	East Caucasian		Avar									Tilutl'	avar1256	#009999	#009999	31.01.2022
83	Tadiyal	Тадиял	42.11099	46.4823	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский			Tadiyal	avar1256	#009999	#009999	31.01.2022
84	Kardib	Кардиб	42.111443	46.514655	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский			Kardib	avar1256	#009999	#009999	31.01.2022
85	Tokh-Orda	Тох-Орда	42.11174	46.35982	Avar	Avar	East Caucasian		Avar									Tokh-Orda	avar1256	#009999	#009999	31.01.2022
86	Gindib	Гиндиб	42.11296	46.50397	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Bukhnada	Бухнадинский			Gindib	avar1256	#009999	#009999	31.01.2022
87	Gilib	Гилиб	42.1169	46.7761	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Tlesserukh	Тлессерухский			Gilib	avar1256	#009999	#009999	31.01.2022
88	Ukal	Укал	42.12163	46.34771	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский			Ukal	avar1256	#009999	#009999	31.01.2022
89	Karanub	Карануб	42.12262	46.81777	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Tlesserukh	Тлессерухский			Karanub	avar1256	#009999	#009999	31.01.2022
90	Doronub	Доронуб	42.124689	46.809427	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Tlesserukh	Тлессерухский			Doronub	avar1256	#009999	#009999	31.01.2022
91	Chanab	Чанаб	42.125345	46.90434	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Rissib	Риссибский			Chanab	avar1256	#009999	#009999	31.01.2022
92	Kutikh	Кутих	42.12587	46.78902	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский					Kutikh	avar1256	#009999	#009999	31.01.2022
93	Dusrakh	Дусрах	42.1275	46.8792	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Rissib	Риссибский			Dusrakh	avar1256	#009999	#009999	31.01.2022
94	Chvadab	Чвадаб	42.13028	46.87639	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Rissib	Риссибский			Chvadab	avar1256	#009999	#009999	31.01.2022
95	Kosroda	Косрода	42.13141	46.85829	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Rissib	Риссибский			Kosroda	avar1256	#009999	#009999	31.01.2022
96	Gendukh	Гендух	42.13476	46.403084	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский			Gendukh	avar1256	#009999	#009999	31.01.2022
97	Gvedysh	Гведыш	42.13591	46.41437	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский			Gvedysh	avar1256	#009999	#009999	31.01.2022
98	Tlyarobazutl'	Тляробазутль	42.14039	46.77575	Avar	Avar	East Caucasian		Avar									Tlyarobazutl'	avar1256	#009999	#009999	31.01.2022
99	Nukush	Нукуш	42.1492	46.80579	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Tlesserukh	Тлессерухский			Nukush	avar1256	#009999	#009999	31.01.2022
100	Tsemer	Цемер	42.15195	46.75296	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Tlesserukh	Тлессерухский			Tsemer	avar1256	#009999	#009999	31.01.2022
101	Mogrob	Могроб	42.15672	46.86521	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Rissib	Риссибский			Mogrob	avar1256	#009999	#009999	31.01.2022
102	Irib	Ириб	42.1606	46.8169	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Tlesserukh	Тлессерухский			Irib	avar1256	#009999	#009999	31.01.2022
103	Childa	Чилда	42.16328	46.34734	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Rissib	Риссибский			Childa	avar1256	#009999	#009999	31.01.2022
104	Anada	Анада	42.17306	46.36917	Avar	Avar	East Caucasian		Avar									Anada	avar1256	#009999	#009999	31.01.2022
105	Baginub	Багинуб	42.1743	46.88159	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Mukratl'	Мукратльский			Baginub	avar1256	#009999	#009999	31.01.2022
106	Khinub	Хинуб	42.17454	46.82406	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Tlesserukh	Тлессерухский			Khinub	avar1256	#009999	#009999	31.01.2022
107	Kuchrab	Кучраб	42.17506	46.90244	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Mukratl'	Мукратльский			Kuchrab	avar1256	#009999	#009999	31.01.2022
108	Khidib	Хидиб	42.17812	46.36299	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash	Ташский			Khidib	avar1256	#009999	#009999	31.01.2022
109	Tlobzoda	Тлобзода	42.17944	46.37111	Avar	Avar	East Caucasian		Avar									Tlobzoda	avar1256	#009999	#009999	31.01.2022
110	Khurukh	Хурух	42.18441	46.85807	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Mukratl'	Мукратльский			Khurukh	avar1256	#009999	#009999	31.01.2022
111	Rul'dab	Рульдаб	42.18472	46.85028	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Tlesserukh	Тлессерухский			Rul'dab	avar1256	#009999	#009999	31.01.2022
112	Khuty	Хуты	42.1875	47.07	Lak	Lak	East Caucasian		Lak									Khuty	lakk1252	#cc9900	#cc9900	31.01.2022
113	Katroso	Катросо	42.188329	46.33021	Avar	Avar	East Caucasian		Avar									Katroso	avar1256	#009999	#009999	31.01.2022
114	Antsukh	Анцух	42.1892	46.3397	Avar	Avar	East Caucasian		Avar									Antsukh	avar1256	#009999	#009999	31.01.2022
115	Gebguda	Гебгуда	42.190026	46.354817	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash	Ташский			Gebguda	avar1256	#009999	#009999	31.01.2022
116	Chadakolob	Чадаколоб	42.19182	46.31981	Avar	Avar	East Caucasian		Avar									Chadakolob	avar1256	#009999	#009999	31.01.2022
117	Khorta	Хорта	42.19329	46.35976	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash	Ташский			Khorta	avar1256	#009999	#009999	31.01.2022
118	Chododa	Чодода	42.193439	46.314784	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Chadakolob	Чадаколобский			Chododa	avar1256	#009999	#009999	31.01.2022
119	Noyrukh	Нойрух	42.193895	46.38005	Avar	Avar	East Caucasian		Avar									Noyrukh	avar1256	#009999	#009999	31.01.2022
120	Magar	Магар	42.19546	46.843669	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Mukratl'	Мукратльский			Magar	avar1256	#009999	#009999	31.01.2022
121	Mukutl'	Мукутль	42.19562	46.861381	Avar	Avar	East Caucasian		Avar									Mukutl'	avar1256	#009999	#009999	31.01.2022
122	Zhazhada	Жажада	42.197157	46.424903	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash	Ташский			Zhazhada	avar1256	#009999	#009999	31.01.2022
123	Mazada	Мазада	42.197896	46.390092	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash	Ташский			Mazada	avar1256	#009999	#009999	31.01.2022
124	Nachada	Начада	42.198508	46.448902	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash	Ташский			Nachada	avar1256	#009999	#009999	31.01.2022
125	Tinchuda	Тинчуда	42.19861	46.45306	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash	Ташский			Tinchuda	avar1256	#009999	#009999	31.01.2022
126	Niklida	Никлида	42.199941	46.406485	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash	Ташский			Niklida	avar1256	#009999	#009999	31.01.2022
127	Bezhuda	Бежуда	42.200348	46.479175	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash	Ташский			Bezhuda	avar1256	#009999	#009999	31.01.2022
128	Rosta	Роста	42.20056	46.39667	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash	Ташский			Rosta	avar1256	#009999	#009999	31.01.2022
129	Khotlob	Хотлоб	42.201243	46.432755	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash	Ташский			Khotlob	avar1256	#009999	#009999	31.01.2022
130	Sinida	Синида	42.20341	46.39071	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash	Ташский			Sinida	avar1256	#009999	#009999	31.01.2022
131	Saraf	Сараф	42.20373	46.31767	Avar	Avar	East Caucasian		Avar									Saraf	avar1256	#009999	#009999	31.01.2022
132	Khobokh	Хобох	42.204624	46.379234	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash	Ташский			Khobokh	avar1256	#009999	#009999	31.01.2022
133	Chunib	Чуниб	42.20496	46.82498	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Mukratl'	Мукратльский			Chunib	avar1256	#009999	#009999	31.01.2022
134	Kabasida	Кабасида	42.205771	46.341334	Avar	Avar	East Caucasian		Avar									Kabasida	avar1256	#009999	#009999	31.01.2022
135	Machar	Мачар	42.206556	46.335204	Avar	Avar	East Caucasian		Avar									Machar	avar1256	#009999	#009999	31.01.2022
136	Tseneb	Ценеб	42.206684	46.842652	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Mukratl'	Мукратльский			Tseneb	avar1256	#009999	#009999	31.01.2022
137	Tamuda	Тамуда	42.21001	46.382	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash	Ташский			Tamuda	avar1256	#009999	#009999	31.01.2022
138	Moschob	Мощоб	42.21389	46.79167	Avar	Avar	East Caucasian		Avar									Moschob	avar1256	#009999	#009999	31.01.2022
139	Shidib	Шидиб	42.214353	46.300745	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash	Ташский			Shidib	avar1256	#009999	#009999	31.01.2022
140	Sodab	Содаб	42.215081	46.81015	Avar	Avar	East Caucasian		Avar									Sodab	avar1256	#009999	#009999	31.01.2022
141	Landa	Ланда	42.218	46.27432	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash-Chadakolob	Ташско-чадаколобский			Landa	avar1256	#009999	#009999	31.01.2022
142	Khantakolob	Хантаколоб	42.21944	46.29083	Avar	Avar	East Caucasian		Avar									Khantakolob	avar1256	#009999	#009999	31.01.2022
143	Bochokh	Бочох	42.22	46.28472	Avar	Avar	East Caucasian		Avar									Bochokh	avar1256	#009999	#009999	31.01.2022
144	Khintida	Хинтида	42.220547	46.275395	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash-Chadakolob	Ташско-чадаколобский			Khintida	avar1256	#009999	#009999	31.01.2022
145	Tokh	Тох	42.222292	46.291546	Avar	Avar	East Caucasian		Avar									Tokh	avar1256	#009999	#009999	31.01.2022
146	Kharada	Харада	42.222648	46.258528	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Tash-Chadakolob	Ташско-чадаколобский			Kharada	avar1256	#009999	#009999	31.01.2022
147	Gidib	Гидиб	42.22942	46.80621	Avar	Avar	East Caucasian		Avar									Gidib	avar1256	#009999	#009999	31.01.2022
