id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
206	Busutli	Бусутли	42.24512	46.363326	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский	Kosob	Кособский	Busutli	avar1256	#009999	#009999	2022-03-07
207	Shitli	Шитли	42.24574	47.01268	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Andalal	Андалальский	Sugratl'	Сугратлинский	NA	NA	Shitli	avar1256	#009999	#009999	2022-03-07
208	Shangoda	Шангода	42.246859	47.000153	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Andalal	Андалальский	Bukhti	Бухтинский	NA	NA	Shangoda	avar1256	#009999	#009999	2022-03-07
209	Magitl'	Магитль	42.248081	46.366738	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский	Kosob	Кособский	Magitl'	avar1256	#009999	#009999	2022-03-07
210	Tsibari	Цибари	42.25213	45.87861	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Tsibari	avar1256	#009999	#009999	2022-03-07
211	Talukh	Талух	42.25652	46.74433	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Lower Karakh	Нижнекарахский	NA	NA	Talukh	avar1256	#009999	#009999	2022-03-07
212	Ikha	Иха	42.256944	45.820075	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Ikha	avar1256	#009999	#009999	2022-03-07
213	Sachada	Сачада	42.258411	46.699595	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Upper Karakh	Верхнекарахский	NA	NA	Sachada	avar1256	#009999	#009999	2022-03-07
214	Mugurukh	Мугурух	42.26064	46.86533	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Mukratl'	Мукратльский	NA	NA	Mugurukh	avar1256	#009999	#009999	2022-03-07
215	Sumeta	Сумета	42.262025	46.705541	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Upper Karakh	Верхнекарахский	NA	NA	Sumeta	avar1256	#009999	#009999	2022-03-07
216	Nakazukh	Наказух	42.264594	46.914238	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Andalal	Андалальский	Sugratl'	Сугратлинский	NA	NA	Nakazukh	avar1256	#009999	#009999	2022-03-07
217	Gidatli	Гидатли	42.266327	46.374506	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Antsukh	Анцухский	Antsrosunkhada	Анцросунхадинский	Kosob	Кособский	Gidatli	avar1256	#009999	#009999	2022-03-07
218	Utlukh	Утлух	42.267533	46.730055	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Utlukh	avar1256	#009999	#009999	2022-03-07
219	Gochada	Гочада	42.272626	46.765272	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Gochada	avar1256	#009999	#009999	2022-03-07
220	Tsulda	Цулда	42.27357	46.72095	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Upper Karakh	Верхнекарахский	NA	NA	Tsulda	avar1256	#009999	#009999	2022-03-07
221	Tlyarosh	Тлярош	42.275317	46.751805	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Tlyarosh	avar1256	#009999	#009999	2022-03-07
222	Charoda	Чарода	42.2764	46.8019	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Charoda	avar1256	#009999	#009999	2022-03-07
223	Murukh	Мурух	42.27719	46.7715	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Lower Karakh	Нижнекарахский	NA	NA	Murukh	avar1256	#009999	#009999	2022-03-07
224	Gunukh	Гунух	42.28043	46.76307	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Lower Karakh	Нижнекарахский	NA	NA	Gunukh	avar1256	#009999	#009999	2022-03-07
225	Gontlob	Гонтлоб	42.280673	46.726468	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Karakh	Карахский	Upper Karakh	Верхнекарахский	NA	NA	Gontlob	avar1256	#009999	#009999	2022-03-07
226	Sogratl'	Согратль	42.2808	46.9914	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Andalal	Андалальский	Sugratl'	Сугратлинский	NA	NA	Sogratl'	avar1256	#009999	#009999	2022-03-07
