id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
297	Nizhniy Kolob	Нижний Колоб	42.430087	46.659303	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Kakhib Mixed	Кахибский смешанный	NA	NA	NA	NA	Nizhniy Kolob	avar1256	#009999	#009999	2022-03-07
298	Verkhniy Togokh	Верхний Тогох	42.430206	46.698316	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Verkhniy Togokh	avar1256	#009999	#009999	2022-03-07
299	Kienikh	Киених	42.43056	46.66639	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Kienikh	avar1256	#009999	#009999	2022-03-07
300	Kuker	Кукер	42.43106	46.80982	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Kuker	avar1256	#009999	#009999	2022-03-07
301	Goor	Гоор	42.43339	46.56927	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Kakhib Mixed	Кахибский смешанный	NA	NA	NA	NA	Goor	avar1256	#009999	#009999	2022-03-07
302	Nizhniy Togokh	Нижний Тогох	42.43381	46.70246	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Nizhniy Togokh	avar1256	#009999	#009999	2022-03-07
303	Mitliurib	Митлиуриб	42.43537	46.68836	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Mitliurib	avar1256	#009999	#009999	2022-03-07
304	Khebda	Хебда	42.443976	46.549984	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Khebda	avar1256	#009999	#009999	2022-03-07
305	Murada	Мурада	42.445422	46.954469	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Andalal	Андалальский	Kuyada	Куядинский	NA	NA	Murada	avar1256	#009999	#009999	2022-03-07
306	Goor-Khindakh	Гоор-Хиндах	42.449273	46.575312	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Kakhib Mixed	Кахибский смешанный	NA	NA	NA	NA	Goor-Khindakh	avar1256	#009999	#009999	2022-03-07
