koryakov_db_id,eng_vil_name,rus_vil_name,lang_1_K,lang_2_K,lang_1_S,lang_2_S,same_languages,name_1885,name_1895,name_1926,name_2010,census_1885,census_1895,census_1926,census_2010,Lat,Lon,Republic,Region,elevation,LevK_comments
2295,Akka,Акка,Tabasaran,,Tabasaran,,TRUE,Агка (Ака),"Агка (Ака, Ахчка, Аква)",Акка,Акка,122,124,134,599,41.92686,47.9297,Daghestan,,741.257202148438,
2295,Akka,Акка,Tabasaran,,Chechen,,FALSE,Агка (Ака),"Агка (Ака, Ахчка, Аква)",Акка,Акка,122,124,134,599,42.856944,45.240278,Chechnya,,1772.53979492188,
217,,Акнада,Tindi,,,,,Акнада,"Акнода (Аканада, Ашанажи)",Акнода,Акнада,502,503,519,120,,,,,,Кизилюртовский район
217,Aknada,Акнада,Tindi,,Tindi,,TRUE,Акнада,"Акнода (Аканада, Ашанажи)",Акнода,Акнада,502,503,519,120,42.4024828,46.1693204,Daghestan,,1756.12231445313,Цумадинский район
8101,,Акнада,,,,,,,,,Акнада,,,,4010,,,,,,Кизилюртовский район
8101,Aknada,Акнада,,,Tindi,,,,,,Акнада,,,,4010,42.4024828,46.1693204,Daghestan,,1756.12231445313,Цумадинский район
1287,Akusha,Акуша,Dargwa,сев.,Dargwa,,TRUE,Акуша,Акуша,Акуши,Акуша,1988,2349,2512,4700,42.275664,47.340107,Daghestan,,1391.779296875,
1287,Akusha,Акуша,Dargwa,сев.,Dargwa,,TRUE,Акуша,Панжук,Акуши,Акуша,1988,953,2512,4700,42.275664,47.340107,Daghestan,,1391.779296875,
1033,Akushali,Акушали,Avar,,Avar,,TRUE,,,Акушали,Акушали,,,85,51,42.4992,46.9504,Daghestan,,1617.04846191406,
219,Alak,Алак,Avar,,Avar,,TRUE,Алак,Алакъ (Алади),Алак,Алак,665,654,779,2759,42.6092,46.1972,Daghestan,,1810.92053222656,
747,,Алитала,Kumyk,,,,,,,Алитала,,,,5,,,,,,,
1385,Alikhanmakhi,Алиханмахи,Dargwa,цуд.,Dargwa,,TRUE,Али-Хан-Махи,Алихан-Махи,Алихан-Махи,Алиханмахи,405,395,340,831,42.33194,47.26602,Daghestan,,1555.15637207031,
3031,Alkadar,Алкадар,Lezgian,,Lezgian,,TRUE,Алкодар (Аулкодар),Алкадар (Аулкодар),Алкадар,Алкадар,397,368,324,970,41.7163,48.08667,Daghestan,,631.227966308594,
3363,,Алкадар-Казмаляр,Lezgian,,,,,,,Алкадар-Казмаляр,,,,14,,,,,,,
3245,,Алла-Кавах,Lezgian,,,,,,,Алла-Кавах,,,,118,,,,,,,
1691,Allate,Аллате,Dargwa,цуд.,Dargwa,,TRUE,,Алалти-Махи,Аллате,Аллате,,455,551,713,42.369057,47.184036,Daghestan,,1388.552734375,
3827,Almalo,Алмало,Russian,,Avar,,FALSE,,,Алмоло,Алмало,,,24,1620,43.0967,47.2253,Daghestan,,10.9668636322022,
2101,,Алхаджакент,Kumyk,,,,,Алхаджа-кент,Алходжа-Кент (Алха-Кент),Ахлоджакент,Алхаджакент,2034,2039,1314,2411,,,,,,
923,,Алчуниб,Archi,верхне-андийски,,,,,,Алчуни,Алчуниб,,,189,193,,,,,,
3667,,Альбурикент,Kumyk,,,,,Альбору-кент,"Альбору-Кент (Альборю-кент, А.-гент, Альбори-кент)",Альбурикент,Альбурикент,429,503,413,12417,,,,,,
1497,Amalte,Амалте,Dargwa,цуд.,Dargwa,,TRUE,Аммалты-Махи,Аммалти-Махи,Амалты-Махи,Амалте,153,197,166,272,42.42457,47.11047,Daghestan,,1111.91564941406,
265,,Аманы,Botlikh,,,,,,,Аманы,,,,41,,,,,,,
1389,Ameterkmakhi,Аметеркмахи,Dargwa,цуд.,Dargwa,,TRUE,Аметерк-Махи,"Аматерк-Махи (Амед-Терк-Махи, Улхулахар)",Аметерк-Махи,Аметеркмахи,725,721,441,2139,42.33081,47.213539,Daghestan,,1137.05822753906,
1509,,Амир-Али,Avar,,,,,,,Амир-Али,,,,3,,,,,,,
1049,,Амир-Харик,Avar,,,,,,,Амир-Харик,,,,36,,,,,,,
901,,Амирала,Avar,,,,,,,Амирала,,,,35,,,,,,,
195,,Амитль,Avar,,,,,,,Амитль,,,,71,,,,,,,
15,Amishta,Амишта,Avar,,Avar,,TRUE,Амишта (Гамишта),Амишта (Гамишта),Амишта,Амишта,122,141,135,129,42.62967,46.552971,Daghestan,,1484.29345703125,
1777,,Амма-Лухи-Махи,Dargwa,цуд.,,,,,,Амма-Лухи-Махи,,,,21,,,,,,,
3925,,Амсар,Rutul,,,,,Амсар (Амсур),Амсар (Амсур),Амсар,Амсар,341,347,309,461,,,,,,
2353,,Амузги,Dargwa,амузг.-шир.,,,,Амузгя (?),"Амузия (Амызга, Амузга)",Амугзия,Амузги,210,212,201,0,,,,,,
3455,,Амух,Dargwa,амухский,,,,Амух (Амоки),Амух (Амоки),Амух,Амух,327,350,304,118,,,,,,
21,Amushi Bol'shoe,Амущи Большое,Avar,,Avar,,TRUE,Амуши-большие (Бакта-Гамуши),Амуши Большие (Бакта Амуши),Амуши больш.,Амущи Большое,581,550,551,1510,42.63752,46.4864,Daghestan,,1033.43017578125,
23,Amushi Maloe,Амущи Малое,Avar,,Avar,,TRUE,Амуши малые  (Хунда-Амуши),Амуши Малые (Хунда Амуши),Амуши малый,Амущи Малое,159,137,187,126,42.650445,46.487815,Daghestan,,825.459167480469,
4187,Anada,Анада,Avar,,Avar,,TRUE,Аада,Аада (Агада),Апада,Анада,59,0,38,50,42.17306,46.36917,Daghestan,,1882.53393554688,
221,Angida,Ангида,Tindi,,Tindi,,TRUE,Ангида,Ангида,Ангида,Ангида,471,426,517,7,42.43279,46.1924,Daghestan,,1881.74572753906,
8013,Andi,Анди,,,Andi,,,,,,Анди,,,,5590,42.7856,46.2639,Daghestan,,1585.87963867188,
8059,,Андреевка,,,,,,,,,Андреевка,,,,329,,,,,,
8006,Anduz,Андуз,,,Karata,,,,,,Андуз,,,,154,43.52361,46.87639,Daghestan,,-8,
225,,Анды,Andi,верхне-андийски,,,,Анди,Анди (Куанналъ),Анды,,2787,1703,2261,,,,,,,
25,Andykh,Андых,Avar,,Avar,,TRUE,Андик (Хандик),Андых (Андикъ),Андых,Андых,557,595,602,971,42.5119,46.5939,Daghestan,,1528.25048828125,
473,,Анисучи,Tindi,,,,,,,Анисучи,,,,8,,,,,,,
3457,Anklukh,Анклух,Dargwa,амухский,Dargwa,,TRUE,Анклуг (Анклёги),"Анклуг (Анклух, Анклеги, Анклюглу)",Анклух,Анклух,189,177,195,13,41.91667,47.53333,Daghestan,,1976.40209960938,
249,Ansalta,Ансалта,Avar,,Avar,,TRUE,Аисалта,"Ансалты (Ансалта, Ансалъ)",Ансальта,Ансалта,1265,1381,1373,4598,42.6939,46.1147,Daghestan,,1103.71447753906,
2235,,Антиль,Dargwa,кайт.,,,,Антиль,Антиль,Антиль,,133,132,139,,,,,,,
8022,Ankhvala,Анхвала,,,Avar,,,,,,Анхвала,,,,309,43.65583,46.90389,Daghestan,,-12,
475,,Анхи,Tindi,,,,,,,Анхи,,,,29,,,,,,,
469,,Анхо,Avar,,,,,,,Анхо,,,,30,,,,,,,?
469,,Анхо,Avar,,,,,,,Анхо,,,,30,,,,,,,?
567,,Анхо,Andi,верхне-андийски,,,,,,Анхо,Анхо,,,28,37,,,,,,?
567,,Анхо,Andi,верхне-андийски,,,,,,Анхо,Анхо,,,28,37,,,,,,?
253,Anchik (Anchikh),Анчик,Karata,карат.,Karata,,TRUE,Анчик  (Анчиди),Анчикъ (Анчиди),Анчик,Анчик,571,664,813,817,42.608098,46.271717,Daghestan,,1196.12072753906,
873,Apshi,Апши,Kumyk,,Avar,,FALSE,Анши (Ганши),"Апши (Абши, Г-)",Хапши,Апши,1487,1431,1832,1655,42.6094,47.1742,Daghestan,,1209.52526855469,
2065,,Араблинский 1005 вер.,Russian,,,,,,,Араблинский 1005 вер.,,,,8,,,,,,,
2067,,Араблинский 1007 вер.,Russian,,,,,,,Араблинский 1007 вер.,,,,9,,,,,,,
2061,,Араблинский 1015 вер.,Russian,,,,,,,Араблинский 1015 вер.,,,,4,,,,,,,
2063,,Араблинский 1017 вер.,North Azerbaijani,,,,,,,Араблинский 1017 вер.,,,,5,,,,,,,
2057,,Араблинское,Russian,,,,,,,Араблинский,,,,19,,,,,,,
2057,,Араблинское,Russian,,,,,,,Араблинский,,,,19,,,,,,,
2059,,Араблинское,Lak,,,,,,,Араблинский,Араблинское,,,12,2175,,,,,,
2059,,Араблинское,Lak,,,,,,,Араблинский,Араблинское,,,12,2175,,,,,,
3117,,Араг-Казмаляр,Lezgian,,,,,,,Араг-Казмаляр,,,,70,,,,,,,
2105,Arak,Арак,Tabasaran,,Tabasaran,,TRUE,Арак,Арак,Арак,Арак,318,322,315,462,41.96112,47.98984,Daghestan,,726.893981933594,
27,Arakani,Аракани,Avar,,Avar,,TRUE,Араканы (Харакуни),Араканы (Харакуни),Араканы,Аракани,1050,1190,882,1638,42.610078,46.991711,Daghestan,,858.093566894531,
3929,Arakul,Аракул,Lak,,Lak,,TRUE,Арахкул (Деккюль),"Аракуль (Арахкуль, Деккюль)",Аракул,Аракул,532,554,481,423,41.77377,47.21238,Daghestan,,2117.37841796875,
3723,,Арала,Dargwa,сев.,,,,,,Арала,,,,6,,,,,,,
1631,Arassamakhi,Арассамахи,Dargwa,сирхинско-тантынский,Dargwa,,TRUE,Араса-Махи,Араса-Махи,Араса-Махи,Арассамахи,57,31,49,30,42.0579,47.40111,Daghestan,,1823.64318847656,
1633,,Арахара-Махи,Dargwa,сирхинско-тантынский,,,,,,Арахара-Махи,,,,8,,,,,,,
1601,Arachanamakhi,Арачанамахи,Dargwa,сев.,Dargwa,,TRUE,,,Арачана-Махи,Арачанамахи,,,65,187,42.31923,47.58202,Daghestan,,1124.91882324219,
1433,,Арга-Буршна,Dargwa,цуд.,,,,,,Арга-Буршна,,,,17,,,,,,,
257,Argvani,Аргвани,Avar,,Avar,,TRUE,Аргуани,Аргуани,Аргуани,Аргвани,914,958,974,797,42.8128,46.5792,Daghestan,,1593.82104492188,
659,Arkas,Аркас,Avar,,Avar,,TRUE,Аркась,Аркас (Гаркас),Аркас,Аркас,140,146,268,317,42.65194,47.13833,Daghestan,,1281.19482421875,
8198,,Аркаскент,,,,,,,,,Аркаскент,,,,184,,,,,,
2111,Arkit,Аркит,Tabasaran,,Tabasaran,,TRUE,Аркит,Аркит,Аркит,Аркит,359,404,422,608,41.947308,48.014025,Daghestan,,651.925903320312,
3151,Arsug,Арсуг,Aghul,кошанский,Aghul,,TRUE,Арсуг,Арсуг (Арсух),Арсуг,Арсуг,286,316,331,235,41.86408,47.65011,Daghestan,,1990.76062011719,
751,,Арта-Арки,Kumyk,,,,,,,Арта-Арки,,,,7,,,,,,,
3785,,Артель Труда (б. кутан б. Сапарали),Kumyk,,,,,,,Артель Труда (б. кутан б. Сапарали),,,,52,,,,,,,
4369,Artlukh,Артлухъ,,,Avar,,,Артлух,Артлухъ,,,329,367,,,42.8631,46.6683,Daghestan,,2046.63842773438,
9030,,Арукила,Dargwa,сев.,,,,,Арукила,,,,218,,,,,,,,
1795,,Арча-Махи,Dargwa,сев.,,,,,,Арча-Махи,,,,21,,,,,,,
921,Archib,Арчиб,Archi,верхне-андийски,Archi,,TRUE,Арчи (Ручь),Арчи (Ручь),Арчи,Арчиб,804,765,126,200,42.0664,46.8678,Daghestan,,2009.66833496094,
259,Archo,Арчо,Karata,карат.,Karata,,TRUE,Арчо (Ачуди),"Арчо (Арчу, Ачуди, Арчубъ)",Арчо,Арчо,326,299,406,346,42.597691,46.305756,Daghestan,,1524.14245605469,
3109,Archug,Арчуг,Tabasaran,,Tabasaran,,TRUE,Арчуг,"Арчюг (Арчух, Арзух)",Арчуг,Арчуг,100,102,158,109,41.7843,47.86009,Daghestan,,1382.79296875,
3137,Asakent,Асакент,Lezgian,,Lezgian,,TRUE,Аса-кент (Асади-хюр),Аса-Кент (Асади-хюр),Асакент,Асакент,309,273,219,107,41.75759,48.00748,Daghestan,,1033.77355957031,
289,,Асали,Chamalal,,,,,,,Асали,,,,24,,,,,,,
3091,Asalikent,Асаликент,Lezgian,,Lezgian,,TRUE,Асали-кент (Аса-али-ди-хюр),Асали-Кент (Аса-Али-Динор),Асаликент,Асаликент,331,318,339,322,41.6298,48.16777,Daghestan,,578.463317871094,
3669,,Асаул,Nogai,,,,,,,Асса-Аул,,,,295,,,,,,,
4679,Asakh,Асах,Tsez,цезский,Tsez,,TRUE,Асахо,Асахо (Асахъ),Асах,Асах,260,311,130,5,42.26311,45.81684,Daghestan,,1857.06994628906,
1253,,Асса-Хахитил,Avar,,,,,,,Асса-Хахитил,,,,4,,,,,,,
261,Assab,Ассаб,Avar,,Avar,,TRUE,Асса,Асса (Ассабъ),Ассаб,Ассаб,946,979,835,1640,42.471596,46.492475,Daghestan,,1596.57141113281,
89,,Ассаколо,Avar,,,,,,,Ассаколо,,,,27,,,,,,,
859,,Атланаул,Kumyk,,,,,Муселим-аул,Муселим-аул,Муселим-Аул,Атланаул,661,557,688,2375,,,,,,
3699,,Атлы-Буюнская будка,Kumyk,,,,,,,Атлы-Буюнская будка,,,,7,,,,,,,
3299,Atrik,Атрик,Tabasaran,,Tabasaran,,TRUE,Атриг,Атрио (Чилек),Атрик,Атрик,136,156,188,238,41.88042,47.78046,Daghestan,,1743.97839355469,
2267,Afna,Афна,Tabasaran,,Tabasaran,,TRUE,Афна,Афна,Афна,Афна,118,122,97,193,41.902075,47.861413,Daghestan,,1077.34875488281,
35,Akhalchi,Ахалчи,Avar,,Avar,,TRUE,Ахальчи,"Ахальчи (Нижний Большой и Верхний Малый А., Горль и Таса Тад А.)",Ахалчи,Ахалчи,894,843,502,734,42.594957,46.631744,Daghestan,,1839.25402832031,
3461,,Ахар,Lak,,,,,"Ахар (Акар, Акарлю)","Ахар (Акар,  Акарлю)",Ахар,,595,576,411,,,,,,,
665,Akhkent,Ахкент,Avar,,Avar,,TRUE,Ахкенты (Кахаб-росо),Ахкент (Кахаб-Росо),Ахкент,Ахкент,301,330,394,1248,42.57353,47.18488,Daghestan,,1544.99975585938,
881,,Ахмадатор,Avar,,,,,,,Ахмадатор,,,,50,,,,,,,
1511,,Ахмед,Avar,,,,,,,Ахмед,,,,3,,,,,,,
1413,,Ахмед-Махи,Dargwa,муиринский,,,,,,Ахмед-Махи,,,,6,,,,,,,
1741,,Ахмед-Хан-Махи,Dargwa,цуд.,,,,,,Ахмед-Хан-Махи,,,,22,,,,,,,
2337,Akhmedkent,Ахмедкент,Dargwa,кайт.?,Dargwa,,TRUE,Ахмед-кент (Ахмала-ша),Ахмед Кент (Ахалаша),Ахмедкент,Ахмедкент,611,613,715,1026,42.12036,47.81047,Daghestan,,678.575988769531,
941,,Ахнада,Avar,,,,,,,Ахнада,,,,47,,,,,,,
3379,Akhnig,Ахниг,Lezgian,,Lezgian,,TRUE,Ахниг,"Агних (Агниг, Ахлик)",Ахниг,Ахниг,430,442,300,21,41.5232,47.99481,Daghestan,,1169.36584472656,
1297,Akhsakadamakhi,Ахсакадамахи,Dargwa,сев.,Dargwa,,TRUE,,,Ахса-Кады-Хунту,Ахсакадамахи,,,44,205,42.303416,47.381576,Daghestan,,1374.48095703125,
3931,Akhty,Ахты,Lezgian,,Lezgian,,TRUE,Ахты (Ахса),Ахты (Ахса),Ахты,Ахты,5935,5789,3870,13405,41.45904,47.746695,Daghestan,,1056.3193359375,
1053,,Ачада,Avar,,,,,,,Ачада,,,,6,,,,,,,
8125,,Ачи-Су,,,,,,,,,Ачи-Су,,,,1681,,,,,,
479,,Ачилобачи,Tindi,,,,,,,Ачилобачи,,,,37,,,,,,,
229,,Ачилу,Andi,верхне-андийски,,,,,,Ачилу,,,,16,,,,,,,
2989,,Ашага-Араг,Lezgian,,,,,Ашага-Араг (Джугуч-Араг),"Ашага-Араг (Ашага-Ага, Аса-Арах, Джунгут-Араг)",Ашага-Араг,,713,1140,421,,,,,,,
2989,,Ашага-Араг,Lezgian,,,,,Ашага-Араг (Ага-Араг),"Ашага-Араг (Ашага-Ага, Аса-Арах, Джунгут-Араг)",Ашага-Араг,,408,1140,421,,,,,,,
3007,Ashaga-Arkhit,Ашага-Архит,Lezgian,,Lezgian,,TRUE,Ашага-Архит (Ага-Ерахт),"Ашага-Аркит (Ага-Ерахт, Нижний Аркит)",Ашага-Архит,Ашага-Архит,589,546,429,811,41.734607,47.97302,Daghestan,,861.138244628906,
3065,,Ашага-Захит,Lezgian,,,,,Ашага-Захит (Ага-Захит),"Ашага-Захит (Ага-Захит, Нижний Захит)",Ашага-Захит,Ашага-Захит,396,349,306,0,,,,,,
2999,Ashaga-Stal,Ашага-Стал,Lezgian,,Lezgian,,TRUE,"Ашага-Сталь (Ага-кран, Ага-Сталь)","Ашага-Стал (Ага-Стал, Ага-Кран, Нижний Стал)",Ашага-Сталь,Ашага-Стал,1312,1269,1342,2854,41.69724,48.19462,Daghestan,,514.984130859375,
3001,,Ашага-Стальские Казмаляры Верх.,Lezgian,,,,,,,Ашага-Стальские Казмаляры Верх.,,,,87,,,,,,,
3005,Ashaga-Tsinit,Ашага-Цинит,Lezgian,,Lezgian,,TRUE,Ашага-Цинит (Ага-Цилинт),"Ашага-Цинит (Ага-Цилипт, Нижнее Цинит)",Ашага-Цинит,Ашага-Цинит,459,417,415,789,41.72324,48.00882,Daghestan,,777.227172851562,
3011,Ashaga-Yarak,Ашага-Ярак,Tabasaran,,Tabasaran,,TRUE,Ярак нижний (Аскан-Ярак),"Ярак Нижний (Ярку Нижн., Аскан-Ярак)",Ашага-Ярак,Ашага-Ярак,338,342,582,1329,41.822988,47.952033,Daghestan,,1242.81079101563,
2993,Ashagakartas,Ашагакартас,Lezgian,,Lezgian,,TRUE,Ашага-Картас (Ага-Картас),"Ашага-Картас (Ага-Картас, Нижний-Картас)",Ашага-Картас,Ашагакартас,544,502,306,192,41.63177,48.1193,Daghestan,,689.695739746094,
3003,Ashaga-Stal-Kazmalyar,Ашагастал-Казмаляр,Lezgian,,Lezgian,,TRUE,,,Ашага-Стальские Казмаляры Ниж.,Ашага-Стал-Казмаляр,,,177,2979,41.681705,48.218336,Daghestan,,409.447540283203,
3429,Ashakent,Ашакент,Lezgian,,Lezgian,,TRUE,,,Аша-Кент,Ашакент,,,279,210,41.59479,47.87241,Daghestan,,1874.18786621094,
231,Ashali,Ашали,Andi,верхне-андийски,Andi,,TRUE,Ашали,Ашали (Ашуламъ),Ашали,Ашали,263,286,138,788,42.76963,46.30878,Daghestan,,1573.82092285156,
3017,Ashar,Ашар,Lezgian,,Lezgian,,TRUE,Ашар,Ашар,Ашар,Ашар,669,711,614,567,41.615664,47.663417,Daghestan,,1595.80969238281,
45,Ashil'ta,Ашильта,Avar,,Avar,,TRUE,Ашильта (Ашель),Ашильта (Ашель),Ашильта,Ашильта,443,478,586,1982,42.772446,46.728853,Daghestan,,640.283020019531,
8015,Ashino,Ашино,,,Botlikh,,,,,,Ашино,,,,80,42.683462,46.156727,Daghestan,,956.206176757813,
3725,,Аштан,Dargwa,сев.,,,,,,Аштан,,,,12,,,,,,,
3471,Ashty,Ашты,Dargwa,кубач-ашт.,Dargwa,,TRUE,Ашти (Усти),"Ашты (Ашти, Усти)",Ашти,Ашты,894,887,913,395,41.961098,47.502559,Daghestan,,1636.76684570313,
223,Asha,Аща,Tindi,,Tindi,,TRUE,Ашали,Ашша (Аша),Ашша,Аща,187,190,261,0,42.450373,46.3334458,Daghestan,,3161.02319335937,
1585,,Ая,Dargwa,сев.,,,,,,Ая,,,,2,,,,,,,
1835,,Ая-Бурхи-Махи,Dargwa,сев.,,,,,Ая-Бурхида-Махи,Ая-Бурхи-Махи,,,83,142,,,,,,,
9005,Ayalakab,Аялакаб,Dargwa,сев.,Dargwa,,TRUE,,Аялакак,–,Аялакаб,,76,,390,42.4231,47.4625,Daghestan,,1243.02075195312,
1837,Ayalizimakhi,Аялизимахи,Dargwa,сев.,Dargwa,,TRUE,Аялизи,Аялизи-Махи,Ая-Лизи-Махи,Аялизимахи,422,399,283,702,42.37684,47.60746,Daghestan,,1055.11938476563,
1839,Ayamakhi,Аямахи,Dargwa,сев.,Dargwa,,TRUE,Ая-Махи,Ая-Махи,Ая-Махи,Аямахи,302,191,290,0,42.40528,47.5725,Daghestan,,1096.869140625,
1491,Ayatsimakhi,Аяцимахи,Dargwa,сирхинско-тантынский,Dargwa,,TRUE,Аядцы-Махи,Аяци-Махи,Аяци-Махи,Аяцимахи,120,114,100,122,42.00618,47.46117,Daghestan,,2041.28308105469,
1809,Ayatsuri,Аяцури,Dargwa,сирхинско-тантынский,Dargwa,,TRUE,Аяцуры-Махи,Аяцури-Махи,Ая-Цури,Аяцури,129,129,82,151,42.07354,47.45121,Daghestan,,1704.47766113281,
757,,Багактул,Kumyk,,,,,,,Багактул,,,,4,,,,,,,
1525,,Баганд-Махи,Dargwa,сев.,,,,,,Баганд-Махи,,,,31,,,,,,,
3559,Bagikla,Багикла,Lak,,Lak,,TRUE,Багеклю (Бахикул),"Багеклю (Бахикуль, Бягиклялю)",Бачекла,Багикла,382,361,296,86,42.25308,47.13393,Daghestan,,1435.11450195313,
