id	village	rus_village	lat	lon	lang	aff	family	republic	region	elevation	kutans	source	page	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltl_village_dialect	gltc_village_dialect	gltl_dialect	gltc_dialect	gltc_lang	lang_col	aff_col	comment
11	Khutkhul	Хутхул	41.78517	47.61451	Agul	Lezgic	East Caucasian	Dagestan	NA	1669.49426269531	FALSE	maisak2014	377	Central	Центральный							Khutkhul			Agul	agul1244	aghu1253	#00cc66	#00cc66	
12	Fite	Фите	41.79161	47.73998	Agul	Lezgic	East Caucasian	Dagestan	NA	2203.34912109375	FALSE	magometov1970	194-233	Fite	Фитинский							Fite					aghu1253	#00cc66	#00cc66	
13	Yarkug	Яркуг	41.79814	47.68435	Agul	Lezgic	East Caucasian	Dagestan	NA	1696.74658203125	FALSE	maisak2014	377	Central	Центральный							Yarkug			Agul	agul1244	aghu1253	#00cc66	#00cc66	
14	Burkikhan	Буркихан	41.806356	47.538467	Agul	Lezgic	East Caucasian	Dagestan	NA	1917.41918945313	FALSE	magometov1970	194-233	Burkikhan	Буркиханский							Burkikhan					aghu1253	#00cc66	#00cc66	
15	Misi	Миси	41.80991	47.60329	Agul	Lezgic	East Caucasian	Dagestan	NA	1813.03881835938	FALSE	maisak2014	377	Central	Центральный							Misi			Agul	agul1244	aghu1253	#00cc66	#00cc66	
16	Kurag	Кураг	41.836764	47.661351	Agul	Lezgic	East Caucasian	Dagestan	NA	1823.28076171875	FALSE	magometov1970	194-233	Kurag	Курагский							Kurag					aghu1253	#00cc66	#00cc66	
17	Khudig	Худиг	41.85373	47.65854	Agul	Lezgic	East Caucasian	Dagestan	NA	1964.59118652344	FALSE	magometov1970	194-233	Koshan	Кошанский							Khudig			Koshan	kosh1245	aghu1253	#00cc66	#00cc66	
18	Arsug	Арсуг	41.86408	47.65011	Agul	Lezgic	East Caucasian	Dagestan	NA	1990.76062011719	FALSE	magometov1970	194-233	Koshan	Кошанский							Arsug			Koshan	kosh1245	aghu1253	#00cc66	#00cc66	
19	Burshag	Буршаг	41.89626	47.64102	Agul	Lezgic	East Caucasian	Dagestan	NA	2223.83544921875	FALSE	magometov1970	194-233	Koshan	Кошанский							Burshag			Koshan	kosh1245	aghu1253	#00cc66	#00cc66	
20	Tsirkhe	Цирхе	41.91513	47.59679	Agul	Lezgic	East Caucasian	Dagestan	NA	2062.8837890625	FALSE	magometov1970	194-233	Tsirkhe	Цирхекский							Tsirkhe					aghu1253	#00cc66	#00cc66	
21	Gelinbatan	Гелинбатан	41.94722	48.16722	Agul	Lezgic	East Caucasian	Dagestan	NA	265.338439941406	FALSE	maisak2014	377	Fite	Фитинский							Gelinbatan					aghu1253	#00cc66	#00cc66	
22	Akhvakh-Dere	Ахвах-дере	41.6624507	46.6360615	Akhvakh	Andic	East Caucasian	Azerbaijan	NA	820.670288085938	FALSE	creissels2012	128	Northern Akhvakh	Северноахвахский							Axaxdərə			Northern Akhvakh	nort3330	akhv1239	#9900ff	#9900ff	
23	Ratlub	Ратлуб	42.359268	46.433433	Akhvakh	Andic	East Caucasian	Dagestan	NA	1581.42468261719	FALSE	creissels2012	128	Southern Akhvakh	Южноахвахский							Ratlub	Ratlub	ratl1234	Southern Akhvakh	sout3319	akhv1239	#9900ff	#9900ff	
24	Tsekob	Цекоб	42.422785	46.450219	Akhvakh	Andic	East Caucasian	Dagestan	NA	1613.07263183594	FALSE	creissels2012	128	Southern Akhvakh	Южноахвахский							Tsekob	Cegob	cego1234	Southern Akhvakh	sout3319	akhv1239	#9900ff	#9900ff	
25	Tlyanub	Тлянуб	42.43568	46.45745	Akhvakh	Andic	East Caucasian	Dagestan	NA	1645.93200683594	FALSE	creissels2012	128	Southern Akhvakh	Южноахвахский							Tlyanub	Tljanub	tlja1234	Southern Akhvakh	sout3319	akhv1239	#9900ff	#9900ff	
26	Lologonitl'	Лологонитль	42.51398	46.33093	Akhvakh	Andic	East Caucasian	Dagestan	NA	1975.88134765625	FALSE	creissels2012	128	Northern Akhvakh	Северноахвахский							Lologonitl'			Northern Akhvakh	nort3330	akhv1239	#9900ff	#9900ff	
27	Izano	Изано	42.52735	46.40389	Akhvakh	Andic	East Caucasian	Dagestan	NA	1823.7587890625	FALSE	creissels2012	128	Northern Akhvakh	Северноахвахский							Izano			Northern Akhvakh	nort3330	akhv1239	#9900ff	#9900ff	
28	Kudiyabroso	Кудиябросо	42.541069	46.377932	Akhvakh	Andic	East Caucasian	Dagestan	NA	1566.51831054688	FALSE	creissels2012	128	Northern Akhvakh	Северноахвахский							Kudiyabroso			Northern Akhvakh	nort3330	akhv1239	#9900ff	#9900ff	
29	Tad-Magitl'	Тад-магитль	42.550266	46.348953	Akhvakh	Andic	East Caucasian	Dagestan	NA	1443.89916992188	FALSE	creissels2012	128	Northern Akhvakh	Северноахвахский							Tad-Magitl'			Northern Akhvakh	nort3330	akhv1239	#9900ff	#9900ff	+ Y.B. Koryakov, p.c.
30	Tsvakilkolo	Цвакилколо	42.55213	46.35351	Akhvakh	Andic	East Caucasian	Dagestan	NA	1337.95275878906	FALSE			Northern Akhvakh	Северноахвахский							Tsvakilkolo			Northern Akhvakh	nort3330	akhv1239	#9900ff	#9900ff	
31	Kvankero	Кванкеро	42.55244	46.3404	Akhvakh	Andic	East Caucasian	Dagestan	NA	1359.33947753906	FALSE			Northern Akhvakh	Северноахвахский							Kvankero			Northern Akhvakh	nort3330	akhv1239	#9900ff	#9900ff	
32	Kamyshkutan	Камышкутан	43.500222	46.621832	Akhvakh	Andic	East Caucasian	Dagestan	NA	8.03595638275147	TRUE	creissels2012	128	Northern Akhvakh	Северноахвахский							Kamyshkutan			Northern Akhvakh	nort3330	akhv1239	#9900ff	#9900ff	+ Y.B. Koryakov, p.c.
33	Kvankhidatli	Кванхидатль	42.65789	46.271742	Andi	Andic	East Caucasian	Dagestan	NA	714.97412109375	FALSE	sulejmanov1957	7	Lower Andi	Нижнеандийский							Kvankhidatli	Kvanxidatl	kvan1238			andi1255	#003366	#9900ff	+ Y.B. Koryakov, p.c.
34	Muni	Муни	42.680242	46.308874	Andi	Andic	East Caucasian	Dagestan	NA	714.581481933594	FALSE	sulejmanov1957	7	Lower Andi	Нижнеандийский							Muni	Munin	muni1255			andi1255	#003366	#9900ff	
35	Mekheturi	Мехетури	42.70556	46.2375	Andi	Andic	East Caucasian	Dagestan	NA	1194.90844726563	FALSE											Mekheturi					andi1255	#003366	#9900ff	
36	Shivor	Шивор	42.714662	46.256637	Andi	Andic	East Caucasian	Dagestan	NA	1873.43334960938	FALSE											Shivor					andi1255	#003366	#9900ff	
37	Rushukha	Рушуха	42.71509	46.28112	Andi	Andic	East Caucasian	Dagestan	NA	1677.90393066406	FALSE											Rushukha					andi1255	#003366	#9900ff	
38	Chanko	Чанко	42.717936	46.246417	Andi	Andic	East Caucasian	Dagestan	NA	1603.61743164063	FALSE	cercvadze1965	312	Upper Andi	Верхнеандийский							Chanko					andi1255	#003366	#9900ff	
39	Khando	Хандо	42.72694	46.23361	Andi	Andic	East Caucasian	Dagestan	NA	1472.67944335938	FALSE											Khando					andi1255	#003366	#9900ff	
40	Zilo	Зило	42.731394	46.319223	Andi	Andic	East Caucasian	Dagestan	NA	1202.365234375	FALSE	sulejmanov1957	7	Upper Andi	Верхнеандийский							Zilo	Zilo	zilo1238			andi1255	#003366	#9900ff	
41	Tsibilta	Цибилта	42.74322	46.24311	Andi	Andic	East Caucasian	Dagestan	NA	1962.23852539062	FALSE											Tsibilta					andi1255	#003366	#9900ff	
42	Ashali	Ашали	42.76963	46.30878	Andi	Andic	East Caucasian	Dagestan	NA	1573.82092285156	FALSE	cercvadze1965	312	Upper Andi	Верхнеандийский							Ashali					andi1255	#003366	#9900ff	+ Y.B. Koryakov, p.c.
43	Rikvani	Риквани	42.782304	46.319372	Andi	Andic	East Caucasian	Dagestan	NA	1874.55419921875	FALSE	sulejmanov1957	7	Upper Andi	Верхнеандийский							Rikvani	Rikvani	rikv1238			andi1255	#003366	#9900ff	+ Y.B. Koryakov, p.c.
44	Andi	Анди	42.7856	46.2639	Andi	Andic	East Caucasian	Dagestan	NA	1585.87963867188	FALSE	cercvadze1965	312	Upper Andi	Верхнеандийский							Andi					andi1255	#003366	#9900ff	
45	Gunkha	Гунха	42.78968	46.28275	Andi	Andic	East Caucasian	Dagestan	NA	1586.26391601563	FALSE	cercvadze1965	312	Upper Andi	Верхнеандийский							Gunkha					andi1255	#003366	#9900ff	
46	Gagatli	Гагатли	42.800361	46.292645	Andi	Andic	East Caucasian	Dagestan	NA	1713.54443359375	FALSE	sulejmanov1957	7	Upper Andi	Верхнеандийский							Gagatli	Gagatl	gaga1250			andi1255	#003366	#9900ff	
47	Novogagatli	Новогагатли	43.4561	46.4819	Andi	Andic	East Caucasian	Dagestan	NA	20.6917171478271	TRUE											Novogagatli					andi1255	#003366	#9900ff	
48	Aytkhan	Айтхан	43.69773	46.82498	Andi	Andic	East Caucasian	Dagestan	NA	-8.53425312042236	TRUE											Aytkhan					andi1255	#003366	#9900ff	
49	Dzhugut	Джугут	43.70835	46.86498	Andi	Andic	East Caucasian	Dagestan	NA	-9.99247932434082	TRUE											Dzhugut					andi1255	#003366	#9900ff	
50	Kubatl'	Кубатль	42.03659	46.85973	Archi	Lezgic	East Caucasian	Dagestan	NA	2160.43139648437	FALSE											Kubatl'					arch1244	#99cc00	#00cc66	
51	Alchunib	Алчуниб	42.05196	46.86943	Archi	Lezgic	East Caucasian	Dagestan	NA	2089.67138671875	FALSE											Alchunib					arch1244	#99cc00	#00cc66	
52	Khilikh	Хилих	42.05838	46.88751	Archi	Lezgic	East Caucasian	Dagestan	NA	2284.55786132813	FALSE											Khilikh					arch1244	#99cc00	#00cc66	+ Y.B. Koryakov, p.c.
53	Keserib	Кесериб	42.0647	46.888	Archi	Lezgic	East Caucasian	Dagestan	NA	2487.88452148437	FALSE											Keserib					arch1244	#99cc00	#00cc66	
54	Archib	Арчиб	42.0664	46.8678	Archi	Lezgic	East Caucasian	Dagestan	NA	2009.66833496094	FALSE											Archib					arch1244	#99cc00	#00cc66	
55	Kalib	Калиб	42.07054	46.86002	Archi	Lezgic	East Caucasian	Dagestan	NA	2117.40405273438	FALSE											Kalib					arch1244	#99cc00	#00cc66	
56	Khitab	Хитаб	42.07538	46.867234	Archi	Lezgic	East Caucasian	Dagestan	NA	1982.42175292969	FALSE											Khitab					arch1244	#99cc00	#00cc66	
57	Karabagly	Карабаглы	44.0089	46.5964	Armenian	Armenic	Indo-European	Dagestan	NA	-12.4388303756714	TRUE			Eastern Armenian	Восточноармянский							Karabagly					nucl1235	#dbcfeb	#fff5ee	
58	Белъелда	Белъелда	NA	NA	Avar	Avar	East Caucasian	Azerbaijan	Belokan	NA	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский								Zaqatala	zaqa1242	avar1256	#009999	#009999	
59	Гъерел	Гъерел	NA	NA	Avar	Avar	East Caucasian	Azerbaijan	Belokan	NA	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский								Zaqatala	zaqa1242	avar1256	#009999	#009999	
60	Гъортноб	Гъортноб	NA	NA	Avar	Avar	East Caucasian	Azerbaijan	Belokan	NA	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский								Zaqatala	zaqa1242	avar1256	#009999	#009999	
61	Кайса	Кайса	NA	NA	Avar	Avar	East Caucasian	Azerbaijan	Belokan	NA	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский								Zaqatala	zaqa1242	avar1256	#009999	#009999	
62	Паркет	Паркет	NA	NA	Avar	Avar	East Caucasian	Azerbaijan	Belokan	NA	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский								Zaqatala	zaqa1242	avar1256	#009999	#009999	
63	Цалда	Цалда	NA	NA	Avar	Avar	East Caucasian	Azerbaijan	Belokan	NA	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский								Zaqatala	zaqa1242	avar1256	#009999	#009999	
64	Ч1орода	Ч1орода	NA	NA	Avar	Avar	East Caucasian	Azerbaijan	Belokan	NA	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский								Zaqatala	zaqa1242	avar1256	#009999	#009999	
65	Həsənbinə	Гасанбина	41.543056	46.480278	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	219.43766784668	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Həsənbinə			Zaqatala	zaqa1242	avar1256	#009999	#009999	
66	Aşağı Çardaxlar	Ашага Чардахлар	41.5458116	46.3375424	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	187.062698364258	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Aşağı Çardaxlar			Zaqatala	zaqa1242	avar1256	#009999	#009999	
67	Danaçı	Даначы	41.5539955	46.3888687	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	201.018905639648	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Danaçı			Zaqatala	zaqa1242	avar1256	#009999	#009999	
68	Yolayrıc	Йолайрыч	41.563889	46.486389	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	232.942367553711	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Yolayrıc			Zaqatala	zaqa1242	avar1256	#009999	#009999	
69	Vöhtala	Войтала	41.57	46.517222	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	259.531890869141	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Vöhtala			Zaqatala	zaqa1242	avar1256	#009999	#009999	
70	Höytala	Гойтала	41.580278	46.493333	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	241.727203369141	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Höytala			Zaqatala	zaqa1242	avar1256	#009999	#009999	
71	Yuxarı Çardaxlar	Юхары Чардахлар	41.5847495	46.7100901	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	763.5537109375	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Yuxarı Çardaxlar			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
72	Maqov	Маков	41.590556	46.493889	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	249.21125793457	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Maqov			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
73	Aşağı Tala	Ашагы Тала	41.603333	46.639444	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	438.103668212891	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Aşağı Tala			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
74	Abaəli	Абаали	41.604701	46.5362941	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	288.909057617187	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Abaəli			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
75	Paşan	Пашан	41.606389	46.481389	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	245.565322875977	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Paşan			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
76	Dardoqqaz	Дардокказ	41.6096771	46.5362028	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	297.382202148437	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Dardoqqaz			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
77	Çökəkoba	Чокекоба	41.611111	46.645833	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	464.718048095703	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Çökəkoba			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
78	Uzuntala	Узунтала	41.615556	46.451667	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	224.920883178711	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Uzuntala			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
79	Zaqatala	Загатала	41.615991	46.60675	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	406.358917236328	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Zaqatala			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
80	Göyəm	Гёйм	41.6163962	46.5834152	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	364.011322021484	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Göyəm			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
81	Sumaylı	Сумайлы	41.6172706	46.5632128	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	326	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Sumaylı			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
82	Tuyurbina	Туюрбина	41.62333	46.55694	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	323.994689941406	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Tuyurbina			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
83	Yuxarı Tala	Юхан Тала	41.623333	46.660556	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	519.238464355469	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Yuxarı Tala			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
84	Biçiqarbinə	Бичекарбине	41.631667	46.363056	Avar	Avar	East Caucasian	Azerbaijan	Belokan	217.01725769043	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Biçiqarbinə			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
85	Mollaçibinə	Малачилбине	41.633333	46.45	Avar	Avar	East Caucasian	Azerbaijan	Belokan	223.798004150391	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Mollaçibinə			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
86	Püştətala	Пуштетала	41.637222	46.409167	Avar	Avar	East Caucasian	Azerbaijan	Belokan	227.347961425781	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Püştətala			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
87	Beretbinə	Беретбине	41.638056	46.477222	Avar	Avar	East Caucasian	Azerbaijan	Belokan	249.412322998047	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Beretbinə			Zaqatala	zaqa1242	avar1256	#009999	#009999	
88	Mazımqarışan	Мазымкарышан	41.638889	46.263056	Avar	Avar	East Caucasian	Azerbaijan	Belokan	198.014785766602	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Mazımqarışan			Zaqatala	zaqa1242	avar1256	#009999	#009999	
89	Kebeloba	Кебелоба	41.6410078	46.6324353	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	485.013916015625	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Kebeloba			Zaqatala	zaqa1242	avar1256	#009999	#009999	
90	Zilban	Зилбан	41.6450246	46.6569721	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	589.429443359375	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Zilban			Zaqatala	zaqa1242	avar1256	#009999	#009999	+ Y.B. Koryakov, p.c.
91	Roçəhməd	Рочахмед	41.648333	46.386944	Avar	Avar	East Caucasian	Azerbaijan	Belokan	235.277984619141	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Roçəhməd			Zaqatala	zaqa1242	avar1256	#009999	#009999	
92	Katex	Катех	41.6570438	46.4771274	Avar	Avar	East Caucasian	Azerbaijan	Belokan	250.184326171875	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Katex			Zaqatala	zaqa1242	avar1256	#009999	#009999	
93	Mazıx	Мазих	41.6607203	46.5466254	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	392.255493164062	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Mazıx			Zaqatala	zaqa1242	avar1256	#009999	#009999	
94	Car	Джар	41.6630304	46.6411466	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	750.356262207031	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Car			Zaqatala	zaqa1242	avar1256	#009999	#009999	
95	Qəbizdərə	Кабиздере	41.6937098	46.5720532	Avar	Avar	East Caucasian	Azerbaijan	Zaqatala	582.762756347656	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Qəbizdərə			Zaqatala	zaqa1242	avar1256	#009999	#009999	
96	Şambul	Шамбул	41.699167	46.275	Avar	Avar	East Caucasian	Azerbaijan	Belokan	216.813522338867	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Şambul			Zaqatala	zaqa1242	avar1256	#009999	#009999	
97	Çədərovtala	Чадаровтала	41.7002104	46.2805503	Avar	Avar	East Caucasian	Azerbaijan	Belokan	220.95768737793	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Çədərovtala			Zaqatala	zaqa1242	avar1256	#009999	#009999	
98	Meşəşambul	Мешешамбул	41.703333	46.273333	Avar	Avar	East Caucasian	Azerbaijan	Belokan	219.880706787109	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Meşəşambul			Zaqatala	zaqa1242	avar1256	#009999	#009999	
99	Xalatala	Халатала	41.7168652	46.1896965	Avar	Avar	East Caucasian	Azerbaijan	Belokan	211.876754760742	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Xalatala			Zaqatala	zaqa1242	avar1256	#009999	#009999	
100	Şərif	Шериф	41.733333	46.25	Avar	Avar	East Caucasian	Azerbaijan	Belokan	235.317428588867	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Şərif			Zaqatala	zaqa1242	avar1256	#009999	#009999	
101	Qullar	Куллар	41.736667	46.448333	Avar	Avar	East Caucasian	Azerbaijan	Belokan	534.631591796875	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Qullar			Zaqatala	zaqa1242	avar1256	#009999	#009999	
102	Mahamalar	Махамалар	41.737222	46.396111	Avar	Avar	East Caucasian	Azerbaijan	Belokan	366.702026367187	FALSE			Southern Avar	Южноаварский	Zaqatala	Закатальский					Mahamalar			Zaqatala	zaqa1242	avar1256	#009999	#009999	
103	Kusur	Кусур	41.781293	46.949207	Avar	Avar	East Caucasian	Dagestan	NA	2084.48657226563	FALSE	alekseevataev1997	22-26	Southern Avar	Южноаварский	Kusur	Кусурский					Kusur					avar1256	#009999	#009999	
104	Tivi	Тиви	41.9086801	45.9489227	Avar	Avar	East Caucasian	Georgia	Kakheti	410.064208984375	FALSE			Southern Avar	Южноаварский	Antsukh	Анцухский					Tivi			Ancux	ancu1238	avar1256	#009999	#009999	
105	Kamilukh	Камилух	41.90911	46.63101	Avar	Avar	East Caucasian	Dagestan	NA	2004.74877929687	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский			Kamilukh			Ancux	ancu1238	avar1256	#009999	#009999	
106	Genekolob	Генеколоб	41.916992	46.600199	Avar	Avar	East Caucasian	Dagestan	NA	2052.53295898437	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский			Genekolob			Ancux	ancu1238	avar1256	#009999	#009999	
107	Gerel'	Герель	41.94451	46.551888	Avar	Avar	East Caucasian	Dagestan	NA	1931.5654296875	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский			Gerel'			Ancux	ancu1238	avar1256	#009999	#009999	
108	Betel'da	Бетельда	41.95077	46.54164	Avar	Avar	East Caucasian	Dagestan	NA	1975.10412597656	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский			Betel'da			Ancux	ancu1238	avar1256	#009999	#009999	
109	Gortnob	Гортноб	41.962665	46.525604	Avar	Avar	East Caucasian	Dagestan	NA	1970.58435058594	FALSE											Gortnob					avar1256	#009999	#009999	
110	Ul'geb	Ульгеб	41.964253	46.523688	Avar	Avar	East Caucasian	Dagestan	NA	2043.16650390625	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский			Ul'geb			Ancux	ancu1238	avar1256	#009999	#009999	
111	Salda	Салда	41.97497	46.50848	Avar	Avar	East Caucasian	Dagestan	NA	1906.43286132813	FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Antsukh	Анцухский	Tomur	Томуринский			Salda			Ancux	ancu1238	avar1256	#009999	#009999	
