id	village	rus_village	village_altnames	lat	lon	coord_source	settlement_type	lang	aff	family	republic	region	elevation	kutans	source	page	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltl_village_dialect	gltc_village_dialect	gltl_dialect	gltc_dialect	gltc_lang	lang_col	aff_col	dialect_comment	villagelang_comment	manual
2132	Gəndov	Гендаб		41.262504	48.9009004	https://az.wikipedia.org/wiki/Gəndov_(Şabran)	no data	Tat	Iranian	Indo-European	Azerbaijan	Şabran		FALSE	suleymanov2017		Muslim Tat		Southern						Gəndov			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
2133	Sədan	Саадан		41.066	49.0386	Open Street Map	hamlet	Tat	Iranian	Indo-European	Azerbaijan	"
Siyəzən"		FALSE	suleymanov2017		Muslim Tat		Southern						Sədan			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
2134	Fındığan	Фындаган		40.9583	49.0377	Open Street Map	hamlet	Tat	Iranian	Indo-European	Azerbaijan	Xızı		FALSE	suleymanov2017		Muslim Tat		Southern						Fındığan			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
2135	Tıxlı	Тыхлы		40.91466	49.09705	Open Street Map	hamlet	Tat	Iranian	Indo-European	Azerbaijan	Xızı		FALSE	suleymanov2017		Muslim Tat		Southern						Tıxlı			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
2136	Xızı	Хизы	Khizi, Хызы	40.9108	49.07	Open Street Map	town	Tat	Iranian	Indo-European	Azerbaijan	Xızı		FALSE	suleymanov2017		Muslim Tat		Southern						Xızı			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
2137	Giləzi	Гилази		40.8715	49.3444	Open Street Map	village	Tat	Iranian	Indo-European	Azerbaijan	Xızı		FALSE	suleymanov2017		Muslim Tat		Central						Giləzi			Muslim Tat	musl1236	musl1236	#d5daff	#fffded		Russian name from Open Street Map	
2138	Dağ Quşçu	Дагкушчу		41.0045	48.9739	Open Street Map	hamlet	Tat	Iranian	Indo-European	Azerbaijan	"
Siyəzən"		FALSE	suleymanov2017		Muslim Tat		Central						Dağ Quşçu			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
2139	Ərüsküş	Арискюш	Ərziküş	40.94493	48.91224	Open Street Map	hamlet	Tat	Iranian	Indo-European	Azerbaijan			FALSE	suleymanov2017		Muslim Tat		Northern						Ərüsküş			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
2140	Zarat-Xeybəri	NA	Zarat Xeybəri, Zarat Xeytəri, Zarat-Kheyberi	40.910833	48.553333	https://az.wikipedia.org/wiki/Zarat_Xeybəri	no data	Tat	Iranian	Indo-European	Azerbaijan	Şamaxı		FALSE	suleymanov2017		Muslim Tat		Northern						Zarat-Xeybəri			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
2141	Pirbəyli	NA		40.83772	48.73893	Open Street Map	hamlet	Tat	Iranian	Indo-European	Azerbaijan	Şamaxı		FALSE	suleymanov2017		Muslim Tat		Upper Şirvan						Pirbəyli			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
2142	Dəmirçi	NA		40.84011	48.56149	Open Street Map	hamlet	Tat	Iranian	Indo-European	Azerbaijan	Şamaxı		FALSE	suleymanov2017		Muslim Tat		Upper Şirvan						Dəmirçi			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
2143	Məlhəm	NA		40.6885	48.6316	Open Street Map	village	Tat	Iranian	Indo-European	Azerbaijan	Şamaxı		FALSE	suleymanov2017		Muslim Tat		Upper Şirvan						Məlhəm			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
